2011-08,100,71
2015-03,-300,51
2011-03,-400,70
2015-05,100,82
2013-12,300,3
2017-04,-400,125
2009-02,-600,22
2015-12,-500,138
2018-08,-400,116
2010-02,530,14
2010-04,800,41
2018-09,200,259
2008-08,400,8
2010-06,1000,26
2014-12,800,105
2006-01,100,120
2010-04,200,165
2015-05,-600,17
2017-01,200,131
2011-08,200,201
2017-03,900,33
2009-01,0,144
2006-08,200,83
2007-12,1100,49
2013-02,-300,51
2020-03,800,207
2015-01,900,51
2014-05,900,71
2008-07,100,60
2010-12,200,41
2019-04,0,89
2020-03,-700,178
2014-03,1100,18
2019-04,530,53
2020-06,-600,6
2018-09,900,27
2012-10,900,47
2010-04,1000,17
2015-10,100,179
2009-05,1000,15
2011-11,800,63
2013-09,530,51
2014-10,1000,16
2018-02,200,106
2018-10,-600,18
2018-01,200,97
2013-02,0,231
2014-01,800,110
2005-06,200,40
2015-11,-500,129
2011-06,100,53
2020-04,100,64
2007-10,0,15
2008-04,1100,12
2015-02,900,37
2016-12,200,85
2008-03,1100,51
2006-10,-800,34
2015-06,-300,51
2009-02,200,26
2007-10,100,76
2016-01,100,260
2011-01,800,58
2008-10,800,47
2013-03,-600,40
2019-07,300,129
2010-01,-600,25
2008-08,1000,46
2009-07,0,117
2011-07,900,41
2020-04,-400,117
2005-01,0,11
2016-10,100,98
2016-09,300,128
2013-07,900,47
2017-02,300,20
2016-03,-300,45
2016-09,1000,31
2016-09,800,111
2012-02,-800,149
2016-02,700,3
2014-01,100,257
2017-09,900,30
2011-04,-400,68
2011-04,-700,171
2011-02,900,27
2009-12,200,35
2014-11,200,87
2010-11,-400,37
2011-01,-600,44
2016-09,-400,154
2006-12,-500,35
2020-01,530,78
2013-08,100,89
2015-07,530,70
2013-11,200,76
2015-11,800,115
2017-03,-800,113
2007-06,1000,43
2013-07,-300,40
2007-11,-700,15
2019-02,1100,11
2017-10,200,297
2015-06,-700,231
2011-07,800,44
2020-03,0,122
2006-09,300,20
2017-05,530,69
2014-07,-400,89
2019-08,-500,65
2017-10,300,120
2010-06,300,37
2013-05,300,53
2013-11,900,28
2009-05,-700,209
2017-08,800,166
2007-09,-300,27
2012-10,-500,25
2010-09,-700,192
2012-12,800,55
2015-01,-300,39
2006-12,-800,295
2015-11,-800,220
2010-09,-300,55
2011-10,100,78
2006-06,-400,79
2017-04,-500,51
2015-11,-200,35
2012-11,0,228
2016-03,200,163
2007-01,900,18
2008-07,900,20
2010-11,0,213
2012-07,-300,59
2015-08,-500,47
2019-09,800,166
2012-05,-400,87
2020-04,300,148
2006-03,900,10
2011-11,-500,82
2009-04,1000,14
2010-02,-500,75
2013-04,-500,31
2015-01,-800,174
2007-07,-600,8
2020-03,530,107
2009-02,-500,64
2015-09,300,93
2014-12,530,62
2014-08,-300,44
2005-06,0,15
2009-07,100,56
2011-05,1000,21
2007-06,-700,172
2016-12,1030,1
2010-04,0,144
2013-03,530,51
2010-01,-300,38
2013-05,-400,80
2016-06,-300,45
2012-12,-300,42
2018-07,100,86
2019-11,1100,11
2013-02,900,27
2010-09,100,59
2008-07,-600,10
